address,avgPrice,bookingSetting,branchUrl,dishTag,expand,geoLat,geoLng,hasSceneryOrder,memberCardId,phoneNo,poi,promoId,regionList,shopDealId,shopId,shopName,shopPower,shopPowerTitle,addTime,addDate
紫荆山路与顺河路交叉口,17,FALSE,/brands/b1894585s10g10,胡辣汤,0,34.760017,113.68249,FALSE,0,,HIGUGCZVCIBFJK,0,2047,0,2009473,方中山胡辣汤(顺河路店),45,准五星商户,2020/3/14 8:44,2020/3/14
龙湖中环路与九如东路交叉口龙湖一号总部中心5A栋105号,1604,FALSE,,日本料理,0,34.79176,113.74645,FALSE,0,,HIHRAGZVCRGSTX,0,87585,0,110730100,本心亭,40,四星商户,2020/3/8 9:28,2020/3/8
人民路7附,-1,FALSE,,面包烘焙,4,34.759163,113.676285,FALSE,0,,HIGSFCZVCHVJIR,0,321,0,1565417278,桂洲村钟意西点(人民路店),35,准四星商户,2020/2/16 19:48,2020/2/16
永安街8号,19,FALSE,/brands/b8949906s10g10,小吃快餐,0,34.73406,113.65446,FALSE,0,,HIGTJJZVCGTECQ,0,7997,0,8949906,阿生哥柳州螺蛳粉,45,准五星商户,2020/3/13 21:08,2020/3/13
林科路与经一路交叉口东北角,67,FALSE,,川菜家常菜,0,34.789143,113.697975,FALSE,0,,HIGIBFZVCJCTHR,0,7458,0,14725618,58度品质川菜馆,50,五星商户,2020/3/5 23:58,2020/3/5
建设路与伏牛路交叉口向南150米路东,43,FALSE,/brands/b570810s10g10,豫菜,0,34.75467,113.60717,FALSE,0,,HIFCBIZVCGBUHU,0,9195,0,570810,葛记焖饼(伏牛路店),45,准五星商户,2019/8/10,2019/8/10
保全街与交通路交叉口东50米路北小胡同内,78,FALSE,,烧烤烤串,0,34.731647,113.647964,FALSE,0,,HIGSABZVCGITIQ,0,9181,0,33738837,岳文生烧烤,45,准五星商户,2020/3/11 21:19,2020/3/11
农科路34号院2号楼东3单元1层东户,129,FALSE,,面包烘焙,4,34.792595,113.69069,FALSE,0,,HIGDUGZVCJBEHE,0,7458,0,113890538,嘉谷蛋糕手作高端定制(农科路店),35,准四星商户,2020/2/29 18:39,2020/2/29
经北三路19号,98,FALSE,,炖菜,0,34.728245,113.74869,FALSE,0,,HIJDSAZVCIVTTT,0,9188,0,125719797,鹅娘,45,准五星商户,2020/2/18 15:51,2020/2/18
商务内环与商务东五街交叉口,174,FALSE,/brands/b19227302s10g10,豫菜,0,34.76844,113.73199,FALSE,0,,HIHUGTZVCJHWRJ,0,7994,0,66904868,城墙根茶馆(CBD店),50,五星商户,2020/3/14 0:07,2020/3/14
民生路与祥盛街交叉口东南角,72,FALSE,/brands/b66301937s10g10,西北菜,0,34.76103,113.75163,FALSE,0,,HIIIABZVCJTTBL,0,7464,0,66301937,大秦地(民生路店),45,准五星商户,2020/3/9 15:02,2020/3/9
